Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w30,0.10614169005191687,0.6278996440933802892053498116,0.8390355579829680737199407272,0.5016610547416680894078311794,models\gru\gru_model_batch256_w30_20250213_100105.pt
batch128_w30,0.1253282939544832,0.5990692572276966242779981849,0.8148478008661238458157139354,0.4736442741070794308104760085,models\gru\gru_model_batch128_w30_20250213_102800.pt
batch64_w30,0.1269663150864418,0.5808469787450646673692964447,0.9086161740743683066827430789,0.4268628314524191331261935472,models\gru\gru_model_batch64_w30_20250213_110901.pt
batch128_h200_w30,0.10627353552616003,0.6401144426523279366969671220,0.8980324093784347406439892020,0.4972908241530053351266786148,models\gru\gru_model_batch128_h200_w30_20250213_121355.pt
batch64_h200_w30,0.11036002997196082,0.6326722835408000092028269930,0.9145079989736616812085931618,0.4836267847271762776607050958,models\gru\gru_model_batch64_h200_w30_20250213_130222.pt
