Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w10,0.06801555855105622,0.5434568845677396312016144518,0.6285873641264210756391390159,0.4786347064310094522239167302,models\gru\gru_model_batch256_w10_20250211_201820.pt
batch128_w10,0.07010511798087997,0.5714687461461674048584565614,0.7707158546107366960804256386,0.4540792172857167850704659648,models\gru\gru_model_batch128_w10_20250211_202743.pt
batch64_w10,0.07050394169007888,0.6052339462302747557879292401,0.8358295860279426515880800029,0.4743627836973471192753300170,models\gru\gru_model_batch64_w10_20250211_203915.pt
batch128_h200_w10,0.07218863386096376,0.6390877199887193862731758799,0.8547992204534455878957385253,0.5103094010858439148460088530,models\gru\gru_model_batch128_h200_w10_20250211_205352.pt
batch64_h200_w10,0.07030511143231633,0.5953163873040964559141444470,0.7777761229602210021713686350,0.4821970222183324111098056066,models\gru\gru_model_batch64_h200_w10_20250211_210413.pt
