Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w10,0.04821962298768939,0.5392352396932172527948816340,0.6523429052960362036551622374,0.4595545372530127453290214889,models\gru\gru_model_batch256_w10_20250212_122923.pt
batch128_w10,0.07920739626643634,0.5164839027703070860149570170,0.8967401213745169165808432096,0.3626884613200574510605180216,models\gru\gru_model_batch128_w10_20250212_123734.pt
batch64_w10,0.06550842824608388,0.5116391912764301632960427595,0.7515724197535306019931525042,0.3878282546494590107870946004,models\gru\gru_model_batch64_w10_20250212_124733.pt
batch128_h200_w10,0.08245991938041917,0.5170250170733674624996905431,0.8315987262675199699230109539,0.3751244859360716493117649288,models\gru\gru_model_batch128_h200_w10_20250212_125823.pt
batch64_h200_w10,0.08143211253965743,0.4347053778200838896031611216,0.7235713970764789597931313303,0.3106763662342963386890444933,models\gru\gru_model_batch64_h200_w10_20250212_130817.pt
