Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w20,0.06816951674644393,0.6731711335054125548249372816,0.8093837091193911993738725274,0.5762012369394496087191065076,models\gru\gru_model_batch256_w20_20250212_143323.pt
batch128_w20,0.10600723642291443,0.5696872987538614314132713773,0.7928210857916636724556495765,0.4445670913530527943914644046,models\gru\gru_model_batch128_w20_20250212_145649.pt
batch64_w20,0.12261239687601726,0.5156830979794610143066469639,0.8966828882262475756202864720,0.3619084906577148157680300646,models\gru\gru_model_batch64_w20_20250212_153440.pt
batch128_h200_w20,0.08747232682777174,0.6706150164776083805445874279,0.7630156317224834440041135300,0.5981763173826781084706339052,models\gru\gru_model_batch128_h200_w20_20250212_163044.pt
batch64_h200_w20,0.08768631954385776,0.6066067886252632108866873546,0.7811692858686273102183439440,0.4958112728348300782975584766,models\gru\gru_model_batch64_h200_w20_20250212_164514.pt
