Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w40,0.11326733502474698,0.6746690215610415647509227558,0.9383074944426060095434704201,0.5266850727144622988973025221,models\gru\gru_model_batch256_w40_20250213_035923.pt
batch128_w40,0.09565349781151974,0.6566989935692718772480691018,0.7925720964836331513676115174,0.5605945277431244918353392651,models\gru\gru_model_batch128_w40_20250213_043116.pt
batch64_w40,0.11937380559516676,0.6222372926636336741129815840,0.8497243132131758813835507187,0.4908323367870335479925388048,models\gru\gru_model_batch64_w40_20250213_051323.pt
batch128_h200_w40,0.08073914532709603,0.4897195277299889775974432611,0.9014560625368247265870168940,0.3361735651783754666878413180,models\gru\gru_model_batch128_h200_w40_20250213_062009.pt
batch64_h200_w40,0.13382010508065273,0.6121608509969050933815345191,0.8602948686309386539308336006,0.4751219003900011831178389005,models\gru\gru_model_batch64_h200_w40_20250213_064910.pt
