Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w60,0.1475774832446166,0.6073061632846640362456353555,0.9239331135280271252853312628,0.4523039961503719624451090820,models\gru\gru_model_batch256_w60_20250212_183827.pt
batch128_w60,0.16690327422787446,0.5534336687505441067788173437,0.7898282937239946661452819442,0.4259479712589865782435555960,models\gru\gru_model_batch128_w60_20250212_185326.pt
batch64_w60,0.12482923449891986,0.6565878654127417910375326568,0.8991085087923538924522543065,0.517106396100053611354688615,models\gru\gru_model_batch64_w60_20250212_191604.pt
batch128_h200_w60,0.12513845617120917,0.6167146877829040520526073657,0.9153975056193997089449233289,0.4649931935873480151245369368,models\gru\gru_model_batch128_h200_w60_20250212_193632.pt
batch64_h200_w60,0.10531707243485884,0.6385205157692452837725398037,0.7956411291291745380572733614,0.5332216455412464333923938390,models\gru\gru_model_batch64_h200_w60_20250212_195655.pt
