Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w5,0.12200631035698785,0.1461095997377653504198646323,0.8377091456755029299121033408,0.08003442904793689201806339717,models\gru\gru_model_batch256_w5_20250213_015117.pt
batch128_w5,0.12328282751218238,0.1463377890908669558403029193,0.9040869696198717404011710419,0.07961199319691142523628086911,models\gru\gru_model_batch128_w5_20250213_015931.pt
batch64_w5,0.10648731270221748,0.1531774956924310630642136871,0.3140092613904550579151729521,0.1012952747131881243315974696,models\gru\gru_model_batch64_w5_20250213_020908.pt
batch128_h200_w5,0.10774448062434341,0.1983768944142150210529026164,0.3683257089518007901217954465,0.1357435789476166508172251824,models\gru\gru_model_batch128_h200_w5_20250213_021943.pt
batch64_h200_w5,0.1233246543190696,0.1481086001063104706598904000,0.8846553549251025964652567878,0.08081969879449918121466297213,models\gru\gru_model_batch64_h200_w5_20250213_022848.pt
