Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w15,0.10902502079202671,0.4535844185441980416522361537,0.7423987437005568276305377000,0.3265479391786917790588322872,models\gru\gru_model_batch256_w15_20250213_000015.pt
batch128_w15,0.1214663874019276,0.4361275459792840764176651555,0.8810465517551483793251625185,0.2897878216580267884328857404,models\gru\gru_model_batch128_w15_20250213_000930.pt
batch64_w15,0.10849111730402167,0.4328464435791414954541492182,0.5945489161088461332773710213,0.3402947587770270874541175216,models\gru\gru_model_batch64_w15_20250213_002005.pt
batch128_h200_w15,0.12432937188581987,0.4199323691849803625464782355,0.8413115717634996008474966341,0.2797945219307439218550404170,models\gru\gru_model_batch128_h200_w15_20250213_003208.pt
batch64_h200_w15,0.12134243141521107,0.3587848382646180345409794537,0.4587338031658097951747268935,0.2945978340173536167753312909,models\gru\gru_model_batch64_h200_w15_20250213_004253.pt
