Experiment,Threshold,F1,TaP,TaR,Model Path
batch256_w11,0.048215313391252,0.5509016165262853543614083639,0.6397409274691835798877246997,0.4837275189743246861521839048,models\gru\gru_model_batch256_w11_20250213_024526.pt
batch128_w11,0.047606385115421174,0.5479733666555632420040714206,0.5972119186660377686969578268,0.5062355749169499973681164678,models\gru\gru_model_batch128_w11_20250213_025345.pt
batch64_w11,0.06456409801136363,0.5122938874189016889618619113,0.6699310366380399192141940270,0.4147109337055954782671518755,models\gru\gru_model_batch64_w11_20250213_030257.pt
batch128_h200_w11,0.06330332129892677,0.5548331726569090834792053683,0.8483403684987656408465144302,0.4122155993903681253043719058,models\gru\gru_model_batch128_h200_w11_20250213_031433.pt
batch64_h200_w11,0.08103262896489616,0.5364995350358831621065221152,0.8783000632151987237627821081,0.3862038743857783757507210286,models\gru\gru_model_batch64_h200_w11_20250213_032321.pt
